Family,species,IUCN Status
Limnodynastidae,Adelotus brevis ,
Myobatrachidae,Arenophryne rotunda,
Myobatrachidae,Arenophryne xiphorhyncha,
Myobatrachidae,Assa darlingtoni ,
Microhylidae,Austrochaperina adelphe,
Microhylidae,Austrochaperina fryi,
Microhylidae,Austrochaperina gracilipes,
Microhylidae,Austrochaperina pluvialis,
Microhylidae,Austrochaperina robusta,
Microhylidae,Cophixalus aenigma ,VU
Microhylidae,Cophixalus australis,
Microhylidae,Cophixalus bombiens,
Microhylidae,Cophixalus concinnus ,CR
Microhylidae,Cophixalus crepitans,
Microhylidae,Cophixalus exiguus,
Microhylidae,Cophixalus hinchinbrookensis,
Microhylidae,Cophixalus hosmeri,
Microhylidae,Cophixalus infacetus,
Microhylidae,Cophixalus kulakula,
Microhylidae,Cophixalus mcdonaldi,EN
Microhylidae,Cophixalus monticola,EN
Microhylidae,Cophixalus neglectus ,EN
Microhylidae,Cophixalus ornatus,
Microhylidae,Cophixalus pakayakulangun,
Microhylidae,Cophixalus peninsularis,
Microhylidae,Cophixalus petrophilus,
Microhylidae,Cophixalus saxatilis ,VU
Microhylidae,Cophixalus zweifeli ,
Myobatrachidae,Crinia bilingua,
Myobatrachidae,Crinia deserticola ,
Myobatrachidae,Crinia fimbriata,
Myobatrachidae,Crinia flindersensis,
Myobatrachidae,Crinia georgiana ,
Myobatrachidae,Crinia glauerti,
Myobatrachidae,Crinia insignifera ,
Myobatrachidae,Crinia nimba,
Myobatrachidae,Crinia parinsignifera ,
Myobatrachidae,Crinia pseudinsignifera,
Myobatrachidae,Crinia remota,
Myobatrachidae,Crinia riparia,
Myobatrachidae,Crinia signifera,
Myobatrachidae,Crinia sloanei ,
Myobatrachidae,Crinia subinsignifera ,
Myobatrachidae,Crinia tasmaniensis,
Myobatrachidae,Crinia tinnula,VU
Pelodryadidae,Cyclorana alboguttata,
Pelodryadidae,Cyclorana australis,
Pelodryadidae,Cyclorana brevipes,
Pelodryadidae,Cyclorana cryptotis ,
Pelodryadidae,Cyclorana cultripes ,
Pelodryadidae,Cyclorana longipes,
Pelodryadidae,Cyclorana maculosa,
Pelodryadidae,Cyclorana maini ,
Pelodryadidae,Cyclorana manya ,
Pelodryadidae,Cyclorana novaehollandiae,
Pelodryadidae,Cyclorana occidentalis,
Pelodryadidae,Cyclorana platycephala ,
Pelodryadidae,Cyclorana vagitus,
Pelodryadidae,Cyclorana verrucosa ,
Myobatrachidae,Geocrinia alba,CR
Myobatrachidae,Geocrinia laevis,
Myobatrachidae,Geocrinia leai ,
Myobatrachidae,Geocrinia lutea ,
Myobatrachidae,Geocrinia rosea ,
Myobatrachidae,Geocrinia victoriana ,
Myobatrachidae,Geocrinia vitellina,VU
Limnodynastidae,Heleioporus albopunctatus ,
Limnodynastidae,Heleioporus australiacus ,VU
Limnodynastidae,Heleioporus barycragus ,
Limnodynastidae,Heleioporus eyrei,
Limnodynastidae,Heleioporus inornatus ,
Limnodynastidae,Heleioporus psammophilus,
Limnodynastidae,Lechriodus fletcheri ,
Limnodynastidae,Limnodynastes convexiusculus ,
Limnodynastidae,Limnodynastes depressus,
Limnodynastidae,Limnodynastes dorsalis,
Limnodynastidae,Limnodynastes dumerilii ,
Limnodynastidae,Limnodynastes fletcheri ,
Limnodynastidae,Limnodynastes interioris,
Limnodynastidae,Limnodynastes lignarius ,
Limnodynastidae,Limnodynastes peronii ,
Limnodynastidae,Limnodynastes salmini,
Limnodynastidae,Limnodynastes tasmaniensis ,
Limnodynastidae,Limnodynastes terraereginae ,
Pelodryadidae,Litoria adelaidensis,
Pelodryadidae,Litoria andiirrmalin,VU
Pelodryadidae,Litoria aurea ,VU
Pelodryadidae,Litoria aurifera,
Pelodryadidae,Litoria axillaris,
Pelodryadidae,Litoria barringtonensis,
Pelodryadidae,Litoria bella,
Pelodryadidae,Litoria bicolor,
Pelodryadidae,Litoria booroolongensis ,CR
Pelodryadidae,Litoria brevipalmata ,EN
Pelodryadidae,Litoria burrowsae,
Pelodryadidae,Litoria caerulea,
Pelodryadidae,Litoria castanea,CR
Pelodryadidae,Litoria cavernicola,
Pelodryadidae,Litoria chloris ,
Pelodryadidae,Litoria citropa ,
Pelodryadidae,Litoria cooloolensis,EN
Pelodryadidae,Litoria coplandi ,
Pelodryadidae,Litoria cyclorhyncha ,
Pelodryadidae,Litoria dahlii ,
Pelodryadidae,Litoria daviesae,VU
Pelodryadidae,Litoria dayi,EN
Pelodryadidae,Litoria dentata ,
Pelodryadidae,Litoria electrica,
Pelodryadidae,Litoria eucnemis ,
Pelodryadidae,Litoria ewingii,
Pelodryadidae,Litoria fallax ,
Pelodryadidae,Litoria freycineti ,VU
Pelodryadidae,Litoria gilleni ,
Pelodryadidae,Litoria gracilenta,
Pelodryadidae,Litoria inermis ,
Pelodryadidae,Litoria infrafrenata,
Pelodryadidae,Litoria jervisiensis ,
Pelodryadidae,Litoria jungguy,
Pelodryadidae,Litoria kroombitensis,
Pelodryadidae,Litoria latopalmata,
Pelodryadidae,Litoria lesueuri,
Pelodryadidae,Litoria littlejohni ,
Pelodryadidae,Litoria longirostris,
Pelodryadidae,Litoria lorica,CR
Pelodryadidae,Litoria meiriana,
Pelodryadidae,Litoria microbelos,
Pelodryadidae,Litoria moorei,
Pelodryadidae,Litoria myola,CR
Pelodryadidae,Litoria nannotis,EN
Pelodryadidae,Litoria nasuta,
Pelodryadidae,Litoria nigrofrenata,
Pelodryadidae,Litoria nudidigitus,
Pelodryadidae,Litoria nyakalensis,CR
Pelodryadidae,Litoria olongburensis,VU
Pelodryadidae,Litoria pallida,
Pelodryadidae,Litoria paraewingi,
Pelodryadidae,Litoria pearsoniana ,
Pelodryadidae,Litoria peronii ,
Pelodryadidae,Litoria personata ,
Pelodryadidae,Litoria phyllochroa,
Pelodryadidae,Litoria piperata,CR
Pelodryadidae,Litoria raniformis ,EN
Pelodryadidae,Litoria revelata,
Pelodryadidae,Litoria rheocola,EN
Pelodryadidae,Litoria rothii ,
Pelodryadidae,Litoria rubella,
Pelodryadidae,Litoria serrata ,
Pelodryadidae,Litoria spenceri ,CR
Pelodryadidae,Litoria splendida ,
Pelodryadidae,Litoria staccato,
Pelodryadidae,Litoria subglandulosa,VU
Pelodryadidae,Litoria tornieri ,
Pelodryadidae,Litoria tyleri ,
Pelodryadidae,Litoria verreauxii ,
Pelodryadidae,Litoria watjulumensis,
Pelodryadidae,Litoria wilcoxii,
Pelodryadidae,Litoria xanthomera ,
Myobatrachidae,Metacrinia nichollsi,
Myobatrachidae,Mixophyes balbus ,VU
Myobatrachidae,Mixophyes carbinensis,
Myobatrachidae,Mixophyes coggeri,
Myobatrachidae,Mixophyes fasciolatus,
Myobatrachidae,Mixophyes fleayi,EN
Myobatrachidae,Mixophyes iteratus,EN
Myobatrachidae,Mixophyes schevilli,
Myobatrachidae,Myobatrachus gouldii,
Limnodynastidae,Neobatrachus albipes ,
Limnodynastidae,Neobatrachus aquilonius,
Limnodynastidae,Neobatrachus fulvus,
Limnodynastidae,Neobatrachus kunapalari,
Limnodynastidae,Neobatrachus pelobatoides ,
Limnodynastidae,Neobatrachus pictus ,
Limnodynastidae,Neobatrachus sudellae ,
Limnodynastidae,Neobatrachus sutor,
Limnodynastidae,Neobatrachus wilsmorei,
Limnodynastidae,Notaden bennettii ,
Limnodynastidae,Notaden melanoscaphus ,
Limnodynastidae,Notaden nichollsi,
Limnodynastidae,Notaden weigeli ,
Ranidae,Papurana daemeli ,
Myobatrachidae,Paracrinia haswelli ,
Limnodynastidae,Philoria frosti ,CR
Limnodynastidae,Philoria kundagungan,EN
Limnodynastidae,Philoria loveridgei,EN
Limnodynastidae,Philoria pughi,EN
Limnodynastidae,Philoria richmondensis,EN
Limnodynastidae,Philoria sphagnicola,EN
Limnodynastidae,Platyplectrum ornatum,
Limnodynastidae,Platyplectrum spenceri,
Myobatrachidae,Pseudophryne australis ,VU
Myobatrachidae,Pseudophryne bibronii,
Myobatrachidae,Pseudophryne coriacea ,
Myobatrachidae,Pseudophryne corroboree ,CR
Myobatrachidae,Pseudophryne covacevichae ,EN
Myobatrachidae,Pseudophryne dendyi ,
Myobatrachidae,Pseudophryne douglasi ,
Myobatrachidae,Pseudophryne guentheri ,
Myobatrachidae,Pseudophryne major,
Myobatrachidae,Pseudophryne occidentalis,
Myobatrachidae,Pseudophryne pengilleyi ,EN
Myobatrachidae,Pseudophryne raveni,
Myobatrachidae,Pseudophryne robinsoni,
Myobatrachidae,Pseudophryne semimarmorata ,
Myobatrachidae,Rheobatrachus silus ,EX
Myobatrachidae,Rheobatrachus vitellinus ,EX
Bufonidae,Rhinella marina,
Myobatrachidae,Spicospina flammocaerulea,VU
Myobatrachidae,Taudactylus acutirostris ,CR
Myobatrachidae,Taudactylus diurnus ,EX
Myobatrachidae,Taudactylus eungellensis ,CR
Myobatrachidae,Taudactylus liemi,
Myobatrachidae,Taudactylus pleione,CR
Myobatrachidae,Taudactylus rheophilus,CR
Myobatrachidae,Uperoleia altissima ,
Myobatrachidae,Uperoleia arenicola,
Myobatrachidae,Uperoleia aspera,
Myobatrachidae,Uperoleia borealis,
Myobatrachidae,Uperoleia crassa,
Myobatrachidae,Uperoleia daviesae,
Myobatrachidae,Uperoleia fusca,
Myobatrachidae,Uperoleia glandulosa,
Myobatrachidae,Uperoleia inundata,
Myobatrachidae,Uperoleia laevigata ,
Myobatrachidae,Uperoleia lithomoda,
Myobatrachidae,Uperoleia littlejohni,
Myobatrachidae,Uperoleia mahonyi,
Myobatrachidae,Uperoleia marmorata,
Myobatrachidae,Uperoleia martini,
Myobatrachidae,Uperoleia micra,
Myobatrachidae,Uperoleia micromeles,
Myobatrachidae,Uperoleia mimula,
Myobatrachidae,Uperoleia minima,
Myobatrachidae,Uperoleia mjobergii,
Myobatrachidae,Uperoleia orientalis,
Myobatrachidae,Uperoleia rugosa,
Myobatrachidae,Uperoleia russelli ,
Myobatrachidae,Uperoleia saxatilis,
Myobatrachidae,Uperoleia stridera,
Myobatrachidae,Uperoleia talpa,
Myobatrachidae,Uperoleia trachyderma,
Myobatrachidae,Uperoleia tyleri ,
